AA	aa
AANRICHTEN	aanrichten
AANRIJDEN	aanrijden
AANRIJDING	aanrijding
AANROEPEN	aanroepen
AANRUKKEN	aanrukken
AANSCHAF	aanschaf
AANSCHOUW	aanschouw
AANSCHOUWD	aanschouwd
AANSLAAN	aanslaan
AANSLAAT	aanslaat
AANSLAG	aanslag
AANSLAGEN	aanslagen
AANSLOOT	aansloot
AANSLUIT	aansluit
AANSLUITEN	aansluiten
AANSMEREN	aansmeren
AANSNIJDEN	aansnijden
AANSPANNEN	aanspannen
AANSPOREN	aansporen
AANSPORING	aansporing
AANSPRAAK	aanspraak
AANSPRAK	aansprak
AANSPRAKEN	aanspraken
AANSPREEKT	aanspreekt
AANSPREKEN	aanspreken
AANSTAAN	aanstaan
AANSTAANDE	aanstaande
AANSTAART	aanstaart
AANSTAAT	aanstaat
AANSTAK	aanstak
AANSTAREN	aanstaren
AANSTEEKT	aansteekt
AANSTEKEN	aansteken
AANSTEKER	aansteker
AANSTELLEN	aanstellen
AANSTELLER	aansteller
AANSTERKEN	aansterken
AANSTOND	aanstond
AANSTOOT	aanstoot
AANSTUREN	aansturen
AANSTUURT	aanstuurt
AANTAL	aantal
AANTALLEN	aantallen
AANTAST	aantast
AANTASTEN	aantasten
AANTASTING	aantasting
AANTEKENEN	aantekenen
AANTIJGING	aantijging
AANTOCHT	aantocht
AANTONEN	aantonen
AANTOONT	aantoont
AANTREDEN	aantreden
AANTREF	aantref
AANTREFFEN	aantreffen
AANTREFT	aantreft
AANTREK	aantrek
AANTREKKEN	aantrekken
AANTREKT	aantrekt
AANTROF	aantrof
AANTROFFEN	aantroffen
AANTROK	aantrok
AANVAARD	aanvaard
AANVAARDDE	aanvaardde
AANVAARDE	aanvaarde
AANVAARDEN	aanvaarden
AANVAARDT	aanvaardt
AANVAL	aanval
AANVALLEN	aanvallen
AANVALLEND	aanvallend
AANVALLER	aanvaller
AANVALLERS	aanvallers
AANVALS	aanvals
AANVALT	aanvalt
AANVANG	aanvang
AANVANGEN	aanvangen
AANVARING	aanvaring
AANVECHTEN	aanvechten
AANVEGEN	aanvegen
AANVIEL	aanviel
AANVIELEN	aanvielen
AANVLIEGEN	aanvliegen
AANVOELDE	aanvoelde
AANVOELEN	aanvoelen
AANVOELT	aanvoelt
AANVOER	aanvoer
AANVOERDER	aanvoerder
AANVOEREN	aanvoeren
AANVRAAG	aanvraag
AANVRAGEN	aanvragen
AANVROEG	aanvroeg
AANVULLEN	aanvullen
AANVULLEND	aanvullend
AANVULLING	aanvulling
AANWAAIEN	aanwaaien
AANWEES	aanwees
AANWENDEN	aanwenden
AANWERVEN	aanwerven
AANWEZIG	aanwezig
AANWEZIGE	aanwezige
AANWEZIGEN	aanwezigen
AANWIJST	aanwijst
AANWIJZEN	aanwijzen
AANWIJZING	aanwijzing
AANWINST	aanwinst
AANZAG	aanzag
AANZAT	aanzat
AANZATEN	aanzaten
AANZET	aanzet
AANZETTE	aanzette
AANZETTEN	aanzetten
AANZICHT	aanzicht
AANZIEN	aanzien
AANZIET	aanziet
AANZIT	aanzit
AANZITTEN	aanzitten
AANZOEK	aanzoek
AAP	aap
AAPJE	aapje
AAPJES	aapjes
AAR	aar
AARD	aard
AARDAPPEL	aardappel
AARDAPPELS	aardappels
AARDBEI	aardbei
AARDBEIEN	aardbeien
AARDBEVING	aardbeving
AARDBODEM	aardbodem
AARDBOL	aardbol
AARDE	aarde
AARDEN	aarden
AARDEWERK	aardewerk
AARDGAS	aardgas
AARDIG	aardig
AARDIGE	aardige
AARDIGER	aardiger
AARDIGHEID	aardigheid
AARDIGS	aardigs
AARDIGSTE	aardigste
AARDKORST	aardkorst
AARDLING	aardling
AARDLINGEN	aardlingen
AARDOLIE	aardolie
AARDS	aards
AARDSE	aardse
AARDSEN	aardsen
AARON	aaron
AARONS	aarons
AARS	aars
AART	aart
AARTSENGEL	aartsengel
AARZEL	aarzel
AARZELDE	aarzelde
AARZELEN	aarzelen
AARZELEND	aarzelend
AARZELING	aarzeling
AARZELT	aarzelt
AAS	aas
AASDE	aasde
AASETERS	aaseters
AASGIER	aasgier
AASGIEREN	aasgieren
AAST	aast
AB	ab
ABA	aba
ABADDON	abaddon
ABATE	abate
ABATES	abates
ABATTOIR	abattoir
ABBA	abba
ABBAS	abbas
ABBERLINE	abberline
ABBEY	abbey
ABBIE	abbie
ABBOT	abbot
ABBOTT	abbott
ABBS	abbs
ABBY	abby
ABC	abc
ABCES	abces
ABDEL	abdel
ABDIJ	abdij
ABDUL	abdul
ABDULLAH	abdullah
ABE	abe
ABED	abed
ABEL	abel
ABER	aber
ABERDEEN	aberdeen
ABERNATHY	abernathy
ABI	abi
ABIGAIL	abigail
ABILENE	abilene
ABLE	able
ABNER	abner
ABNORMAAL	abnormaal
ABNORMAALS	abnormaals
ABNORMALE	abnormale
ABNORMALEN	abnormalen
ABONNEE	abonnee
ABONNEES	abonnees
ABONNEMENT	abonnement
ABORTEREN	aborteren
ABORTUS	abortus
ABORTUSSEN	abortussen
ABOUT	about
ABOVE	above
ABRAHAM	abraham
ABRAHAMS	abrahams
ABRAMS	abrams
ABRIKOOS	abrikoos
ABRIKOZEN	abrikozen
ABRUPT	abrupt
ABRUZZI	abruzzi
ABS	abs
ABSINT	absint
ABSOLUTE	absolute
ABSOLUTIE	absolutie
ABSOLUUT	absoluut
ABSORBEERT	absorbeert
ABSORBEREN	absorberen
ABSTRACT	abstract
ABSTRACTE	abstracte
ABSURD	absurd
ABSURDE	absurde
ABT	abt
ABU	abu
ABUDDIN	abuddin
ABUIS	abuis
ABYDOS	abydos
ABYSS	abyss
AC	ac
ACACIA	acacia
ACADEMICI	academici
ACADEMICUS	academicus
ACADEMIE	academie
ACADEMISCH	academisch
ACADEMY	academy
ACAPULCO	acapulco
ACCENT	accent
ACCENTEN	accenten
ACCEPTABEL	acceptabel
ACCEPTATIE	acceptatie
ACCEPTEER	accepteer
ACCEPTEERT	accepteert
ACCEPTEREN	accepteren
ACCESS	access
ACCESSOIRE	accessoire
ACCOORD	accoord
ACCORD	accord
ACCORDEON	accordeon
ACCOUNT	account
ACCOUNTANT	accountant
ACCOUNTING	accounting
ACCOUNTS	accounts
ACCU	accu
ACCURAAT	accuraat
ACCURATE	accurate
ACE	ace
ACES	aces
ACETON	aceton
ACEVEDA	aceveda
ACH	ach
ACHERON	acheron
ACHILLES	achilles
ACHMED	achmed
ACHT	acht
ACHTBAAN	achtbaan
ACHTBANEN	achtbanen
ACHTELOOS	achteloos
ACHTEN	achten
ACHTER	achter
ACHTERAAN	achteraan
ACHTERAF	achteraf
ACHTERBAK	achterbak
ACHTERBAKS	achterbaks
ACHTERBAN	achterban
ACHTERBANK	achterbank
ACHTERDEK	achterdek
ACHTERDEUR	achterdeur
ACHTEREEN	achtereen
ACHTEREN	achteren
ACHTERHAAL	achterhaal
ACHTERHOUD	achterhoud
ACHTERIN	achterin
ACHTERJE	achterje
ACHTERKANT	achterkant
ACHTERKLEP	achterklep
ACHTERKOMT	achterkomt
ACHTERLAAT	achterlaat
ACHTERLIET	achterliet
ACHTERLIJK	achterlijk
ACHTERNA	achterna
ACHTERNAAM	achternaam
ACHTERNEEF	achterneef
ACHTEROM	achterom
ACHTEROP	achterop
ACHTEROVER	achterover
ACHTERRUIT	achterruit
ACHTERSTE	achterste
ACHTERTUIN	achtertuin
ACHTERUIT	achteruit
ACHTERVOLG	achtervolg
ACHTERWEGE	achterwege
ACHTERWERK	achterwerk
ACHTERZAK	achterzak
ACHTIG	achtig
ACHTIGE	achtige
ACHTING	achting
ACHTJARIGE	achtjarige
ACHTSTE	achtste
ACHTTE	achtte
ACHTTIEN	achttien
ACHTTIENDE	achttiende
ACID	acid
ACKERMAN	ackerman
ACKROYD	ackroyd
ACLU	aclu
ACME	acme
ACN	acn
ACNE	acne
ACOSTA	acosta
ACRES	acres
ACROBAAT	acrobaat
ACROBATEN	acrobaten
ACRONIEM	acroniem
ACT	act
ACTE	acte
ACTEER	acteer
ACTEERDE	acteerde
ACTEERT	acteert
ACTEERWERK	acteerwerk
ACTEREN	acteren
ACTEUR	acteur
ACTEURS	acteurs
ACTIE	actie
ACTIEF	actief
ACTIEFILM	actiefilm
ACTIES	acties
ACTIEVE	actieve
ACTIEVER	actiever
ACTION	action
ACTIVA	activa
ACTIVATIE	activatie
ACTIVE	active
ACTIVEER	activeer
ACTIVEERDE	activeerde
ACTIVEERT	activeert
ACTIVEREN	activeren
ACTIVERING	activering
ACTIVIST	activist
ACTIVISTEN	activisten
ACTIVITEIT	activiteit
ACTRICE	actrice
ACTRICES	actrices
ACTS	acts
ACTUEEL	actueel
ACTUELE	actuele
ACUTE	acute
ACUUT	acuut
AD	ad
ADA	ada
ADAIR	adair
ADALIND	adalind
ADAM	adam
ADAMA	adama
ADAMS	adams
ADAMSAPPEL	adamsappel
ADAMSON	adamson
ADD	add
ADDAMS	addams
ADDER	adder
ADDERALL	adderall
ADDERTJE	addertje
ADDIE	addie
ADDISON	addison
ADDY	addy
ADE	ade
ADEBISI	adebisi
ADEL	adel
ADELA	adela
ADELAAR	adelaar
ADELAARS	adelaars
ADELAIDE	adelaide
ADELBORST	adelborst
ADELE	adele
ADELINA	adelina
ADELINE	adeline
ADELLE	adelle
ADELLIJKE	adellijke
ADEM	adem
ADEMDE	ademde
ADEMEN	ademen
ADEMEND	ademend
ADEMENDE	ademende
ADEMHAALT	ademhaalt
ADEMHALEN	ademhalen
ADEMHALING	ademhaling
ADEMLOOS	ademloos
ADEMNOOD	ademnood
ADEMPAUZE	adempauze
ADEMRUIMTE	ademruimte
ADEMT	ademt
ADEMTEUG	ademteug
ADEMTOCHT	ademtocht
ADEN	aden
ADEQUAAT	adequaat
ADER	ader
ADEREN	aderen
ADERS	aders
ADHD	adhd
ADI	adi
ADIEU	adieu
ADIOS	adios
ADJUDANT	adjudant
ADJUNCT	adjunct
ADLER	adler
ADMIRAAL	admiraal
ADMIRAL	admiral
ADNAN	adnan
ADOLF	adolf
ADONIS	adonis
ADOPTEER	adopteer
ADOPTEERDE	adopteerde
ADOPTEERT	adopteert
ADOPTEREN	adopteren
ADOPTIE	adoptie
ADRENALINE	adrenaline
ADRES	adres
ADRESBOEK	adresboek
ADRESSEN	adressen
ADRIA	adria
ADRIAN	adrian
ADRIANA	adriana
ADRIANNA	adrianna
ADRIEN	adrien
ADRIENNE	adrienne
ADVENTURE	adventure
ADVERTEREN	adverteren
ADVIES	advies
ADVIEZEN	adviezen
ADVISEER	adviseer
ADVISEERDE	adviseerde
ADVISEERT	adviseert
ADVISEREN	adviseren
ADVISEUR	adviseur
ADVISEURS	adviseurs
ADVOCAAT	advocaat
ADVOCATE	advocate
ADVOCATEN	advocaten
ADVOCATUUR	advocatuur
ADVOKAAT	advokaat
AEGIS	aegis
AEROBICS	aerobics
AEROSMITH	aerosmith
AERYN	aeryn
AF	af
AFASIE	afasie
AFBEELDING	afbeelding
AFBELLEN	afbellen
AFBETAALD	afbetaald
AFBETALEN	afbetalen
AFBETALING	afbetaling
AFBIJTEN	afbijten
AFBINDEN	afbinden
AFBLAZEN	afblazen
AFBLIJFT	afblijft
AFBLIJVEN	afblijven
AFBOUWEN	afbouwen
AFBRAAK	afbraak
AFBRAK	afbrak
AFBRANDDE	afbrandde
AFBRANDEN	afbranden
AFBRANDT	afbrandt
AFBREEKT	afbreekt
AFBREKEN	afbreken
AFBREUK	afbreuk
AFBUIGEN	afbuigen
AFDALEN	afdalen
AFDALING	afdaling
AFDEKKEN	afdekken
AFDELING	afdeling
AFDELINGEN	afdelingen
AFDINGEN	afdingen
AFDOEN	afdoen
AFDOENDE	afdoende
AFDOET	afdoet
AFDROGEN	afdrogen
AFDRUK	afdruk
AFDRUKKEN	afdrukken
AFDWALEN	afdwalen
AFDWINGEN	afdwingen
AFFAIR	affair
AFFAIRE	affaire
AFFAIRES	affaires
AFFAIRS	affairs
AFFECTIE	affectie
AFFICHE	affiche
AFFICHES	affiches
AFFINITEIT	affiniteit
AFFLECK	affleck
AFGAAN	afgaan
AFGAAND	afgaand
AFGAANDE	afgaande
AFGAAT	afgaat
AFGANG	afgang
AFGEBAKEND	afgebakend
AFGEBEELD	afgebeeld
AFGEBELD	afgebeld
AFGEBETEN	afgebeten
AFGEBLAZEN	afgeblazen
AFGEBRAND	afgebrand
AFGEBROKEN	afgebroken
AFGEDAALD	afgedaald
AFGEDAAN	afgedaan
AFGEDANKT	afgedankt
AFGEDANKTE	afgedankte
AFGEDEKT	afgedekt
AFGEDROOGD	afgedroogd
AFGEDRUKT	afgedrukt
AFGEDWAALD	afgedwaald
AFGEEFT	afgeeft
AFGEGAAN	afgegaan
AFGEGEVEN	afgegeven
AFGEHAAKT	afgehaakt
AFGEHAALD	afgehaald
AFGEHAKT	afgehakt
AFGEHAKTE	afgehakte
AFGEKAPT	afgekapt
AFGEKEKEN	afgekeken
AFGEKETST	afgeketst
AFGEKEURD	afgekeurd
AFGEKICKT	afgekickt
AFGEKNALD	afgeknald
AFGEKNIPT	afgeknipt
AFGEKOCHT	afgekocht
AFGEKOELD	afgekoeld
AFGEKOMEN	afgekomen
AFGEKORT	afgekort
AFGELAST	afgelast
AFGELASTEN	afgelasten
AFGELEGD	afgelegd
AFGELEGEN	afgelegen
AFGELEID	afgeleid
AFGELEVERD	afgeleverd
AFGELOPEN	afgelopen
AFGELOST	afgelost
AFGEMAAKT	afgemaakt
AFGEMAT	afgemat
AFGENOMEN	afgenomen
AFGEPAKT	afgepakt
AFGEPERST	afgeperst
AFGEPIKT	afgepikt
AFGEPRIJSD	afgeprijsd
AFGERADEN	afgeraden
AFGEREISD	afgereisd
AFGEREKEND	afgerekend
AFGERICHT	afgericht
AFGEROEPEN	afgeroepen
AFGEROND	afgerond
AFGEROST	afgerost
AFGERUKT	afgerukt
AFGESCHAFT	afgeschaft
AFGESCHUD	afgeschud
AFGESLACHT	afgeslacht
AFGESLAGEN	afgeslagen
AFGESLOTEN	afgesloten
AFGESNEDEN	afgesneden
AFGESPEELD	afgespeeld
AFGESTAAN	afgestaan
AFGESTELD	afgesteld
AFGESTEMD	afgestemd
AFGESTOFT	afgestoft
AFGESTOMPT	afgestompt
AFGESTOTEN	afgestoten
AFGESTRAFT	afgestraft
AFGESTUURD	afgestuurd
AFGETAPT	afgetapt
AFGETEKEND	afgetekend
AFGETREDEN	afgetreden
AFGETUIGD	afgetuigd
AFGEVALLEN	afgevallen
AFGEVEEGD	afgeveegd
AFGEVEN	afgeven
AFGEVOERD	afgevoerd
AFGEVRAAGD	afgevraagd
AFGEVUURD	afgevuurd
AFGEWACHT	afgewacht
AFGEWASSEN	afgewassen
AFGEWEKEN	afgeweken
AFGEWEND	afgewend
AFGEWERKT	afgewerkt
AFGEWEZEN	afgewezen
AFGEWOGEN	afgewogen
AFGEWORPEN	afgeworpen
AFGEZAAGD	afgezaagd
AFGEZAAGDE	afgezaagde
AFGEZANT	afgezant
AFGEZANTEN	afgezanten
AFGEZEGD	afgezegd
AFGEZET	afgezet
AFGEZIEN	afgezien
AFGEZOCHT	afgezocht
AFGEZWOREN	afgezworen
AFGHAANSE	afghaanse
AFGHANEN	afghanen
AFGIETSEL	afgietsel
AFGING	afging
AFGLIJDEN	afglijden
AFGOOIEN	afgooien
AFGRIJZEN	afgrijzen
AFGROND	afgrond
AFGUNST	afgunst
AFHAAL	afhaal
AFHAALT	afhaalt
AFHAKEN	afhaken
AFHAKKEN	afhakken
AFHALEN	afhalen
AFHANDEL	afhandel
AFHANDELDE	afhandelde
AFHANDELEN	afhandelen
AFHANDELT	afhandelt
AFHANDIG	afhandig
AFHANGEN	afhangen
AFHANGT	afhangt
AFHELPEN	afhelpen
AFHING	afhing
AFHOUDEN	afhouden
AFIJN	afijn
AFIS	afis
AFKAPPEN	afkappen
AFKEER	afkeer
AFKEREN	afkeren
AFKEUREN	afkeuren
AFKEURING	afkeuring
AFKEURT	afkeurt
AFKICK	afkick
AFKICKEN	afkicken
AFKIJKEN	afkijken
AFKLEMMEN	afklemmen
AFKLOPPEN	afkloppen
AFKNALLEN	afknallen
AFKNAPPER	afknapper
AFKNIPPEN	afknippen
AFKOELEN	afkoelen
AFKOELT	afkoelt
AFKOMEN	afkomen
AFKOMST	afkomst
AFKOMSTIG	afkomstig
AFKOMT	afkomt
AFKOPEN	afkopen
AFKORTING	afkorting
AFKRAKEN	afkraken
AFKRIJGEN	afkrijgen
AFKWAM	afkwam
AFLATENDE	aflatende
AFLEGDE	aflegde
AFLEGGEN	afleggen
AFLEGT	aflegt
AFLEIDEN	afleiden
AFLEIDING	afleiding
AFLEIDT	afleidt
AFLEREN	afleren
AFLEVER	aflever
AFLEVERDE	afleverde
AFLEVEREN	afleveren
AFLEVERING	aflevering
AFLEVERT	aflevert
AFLEZEN	aflezen
AFLIEP	afliep
AFLIKKEN	aflikken
AFLOOP	afloop
AFLOOPT	afloopt
AFLOPEN	aflopen
AFLOSSEN	aflossen
AFLOSSING	aflossing
AFLUISTER	afluister
AFLUISTERT	afluistert
AFMAAK	afmaak
AFMAAKT	afmaakt
AFMAAKTE	afmaakte
AFMAKEN	afmaken
AFMETING	afmeting
AFMETINGEN	afmetingen
AFNAM	afnam
AFNAME	afname
AFNAMEN	afnamen
AFNEEM	afneem
AFNEEMT	afneemt
AFNEMEN	afnemen
AFPAK	afpak
AFPAKKEN	afpakken
AFPAKT	afpakt
AFPAKTE	afpakte
AFPERSEN	afpersen
AFPERSER	afperser
AFPERSING	afpersing
AFRADEN	afraden
AFRAID	afraid
AFRANSELEN	afranselen
AFREAGEREN	afreageren
AFREIZEN	afreizen
AFREKENEN	afrekenen
AFREKENING	afrekening
AFREMMEN	afremmen
AFRICA	africa
AFRICAN	african
AFRIKA	afrika
AFRIKAAN	afrikaan
AFRIKAANS	afrikaans
AFRIKAANSE	afrikaanse
AFRIKANEN	afrikanen
AFRIT	afrit
AFRO	afro
AFROEPEN	afroepen
AFRONDEN	afronden
AFRONDING	afronding
AFRUIMEN	afruimen
AFRUKKEN	afrukken
AFSCHAFFEN	afschaffen
AFSCHEID	afscheid
AFSCHEIDEN	afscheiden
AFSCHEPEN	afschepen
AFSCHEREN	afscheren
AFSCHERMEN	afschermen
AFSCHIET	afschiet
AFSCHIETEN	afschieten
AFSCHRIFT	afschrift
AFSCHRIKT	afschrikt
AFSCHUDDEN	afschudden
AFSCHUIVEN	afschuiven
AFSCHUW	afschuw
AFSLAAN	afslaan
AFSLAAT	afslaat
AFSLACHT	afslacht
AFSLACHTEN	afslachten
AFSLACHTTE	afslachtte
AFSLAG	afslag
AFSLOOT	afsloot
AFSLUIT	afsluit
AFSLUITEN	afsluiten
AFSLUITER	afsluiter
AFSLUITING	afsluiting
AFSNEED	afsneed
AFSNIJDEN	afsnijden
AFSNIJDT	afsnijdt
AFSPEELDE	afspeelde
AFSPEELT	afspeelt
AFSPELEN	afspelen
AFSPOELEN	afspoelen
AFSPRAAK	afspraak
AFSPRAAKJE	afspraakje
AFSPRAK	afsprak
AFSPRAKEN	afspraken
AFSPREEKT	afspreekt
AFSPREKEN	afspreken
AFSPRINGEN	afspringen
AFSTAAN	afstaan
AFSTAMMEN	afstammen
AFSTAMT	afstamt
AFSTAND	afstand
AFSTANDEN	afstanden
AFSTANDJE	afstandje
AFSTANDS	afstands
AFSTAPJE	afstapje
AFSTAPPEN	afstappen
AFSTEKEN	afsteken
AFSTELLEN	afstellen
AFSTEMMEN	afstemmen
AFSTERVEN	afsterven
AFSTIJGEN	afstijgen
AFSTOFFEN	afstoffen
AFSTOOT	afstoot
AFSTOTEN	afstoten
AFSTOTING	afstoting
AFSTUDEER	afstudeer
AFSTUDEERT	afstudeert
AFSTUDEREN	afstuderen
AFSTUREN	afsturen
AFTAKELING	aftakeling
AFTANDSE	aftandse
AFTAPPEN	aftappen
AFTASTEN	aftasten
AFTEKENEN	aftekenen
AFTELLEN	aftellen
AFTELLING	aftelling
AFTER	after
AFTERPARTY	afterparty
AFTERSHAVE	aftershave
AFTITELING	aftiteling
AFTOCHT	aftocht
AFTRAP	aftrap
AFTREDEN	aftreden
AFTREEDT	aftreedt
AFTREK	aftrek
AFTREKBAAR	aftrekbaar
AFTREKKEN	aftrekken
AFTREKSEL	aftreksel
AFTREKT	aftrekt
AFTROEVEN	aftroeven
AFTUIGEN	aftuigen
AFVAL	afval
AFVALBAK	afvalbak
AFVALLEN	afvallen
AFVALLIGE	afvallige
AFVALLIGEN	afvalligen
AFVALT	afvalt
AFVEGEN	afvegen
AFVIEL	afviel
AFVOER	afvoer
AFVOEREN	afvoeren
AFVRAAG	afvraag
AFVRAAGT	afvraagt
AFVRAGEN	afvragen
AFVRAGEND	afvragend
AFVROEG	afvroeg
AFVUREN	afvuren
AFVUURDE	afvuurde
AFVUURT	afvuurt
AFWACHT	afwacht
AFWACHTEN	afwachten
AFWACHTING	afwachting
AFWAS	afwas
AFWASSEN	afwassen
AFWASSER	afwasser
AFWEER	afweer
AFWEES	afwees
AFWEET	afweet
AFWEGEN	afwegen
AFWEGING	afweging
AFWENDEN	afwenden
AFWEREN	afweren
AFWERKEN	afwerken
AFWERKING	afwerking
AFWERPEN	afwerpen
AFWETEN	afweten
AFWEZIG	afwezig
AFWEZIGE	afwezige
AFWIJKEN	afwijken
AFWIJKEND	afwijkend
AFWIJKENDE	afwijkende
AFWIJKING	afwijking
AFWIJKT	afwijkt
AFWIJST	afwijst
AFWIJZEN	afwijzen
AFWIJZING	afwijzing
AFWIMPELEN	afwimpelen
AFWISSELEN	afwisselen
AFWIST	afwist
AFZAGEN	afzagen
AFZAKKEN	afzakken
AFZEGGEN	afzeggen
AFZEGT	afzegt
AFZEIKEN	afzeiken
AFZENDER	afzender
AFZET	afzet
AFZETTE	afzette
AFZETTEN	afzetten
AFZETTERIJ	afzetterij
AFZETTING	afzetting
AFZIEN	afzien
AFZIET	afziet
